Fast_Window,Slow_Window,Macro_Window,Total_Return_Pct,CAGR,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_Pct
35,130,210,57.93,14.066420959978899,0.87,1.742366045375927,-10.84%
35,130,225,50.7,12.769414375125887,0.74,1.5706318514106532,-10.80%
35,130,240,48.61,12.540541258604065,0.72,1.5227822358520244,-10.81%
35,140,150,92.82,19.358629151959605,1.41,2.3911649493376776,-10.48%
35,140,165,85.19,18.386977424654294,1.31,2.2975432361176322,-10.53%
35,140,180,80.53,17.87913899113045,1.26,2.2727281943649102,-10.55%
35,140,195,74.12,17.00255631948846,1.17,2.1660477356965444,-10.60%
35,140,210,60.52,14.602052414728316,0.93,1.856474892232642,-10.58%
35,140,225,52.93,13.255851149080144,0.8,1.6759776283137522,-10.53%
35,140,240,51.09,13.097380575739347,0.79,1.6341388601848585,-10.53%
35,150,150,92.1,19.23834280198451,1.41,2.4093723613098943,-10.44%
35,150,165,85.36,18.416735398159222,1.32,2.3296781831019495,-10.49%
35,150,180,80.95,17.95543900909489,1.28,2.306844520061595,-10.51%
35,150,195,73.96,16.972104005428346,1.18,2.1865594141014095,-10.56%
35,150,210,60.78,14.655481632237578,0.94,1.8839661067427667,-10.54%
35,150,225,53.02,13.275377551412193,0.81,1.6985108727724916,-10.49%
35,150,240,51.23,13.128623202514689,0.79,1.6594007665264872,-10.49%
35,160,150,92.99,19.615908121408943,1.45,2.4370809653008916,-10.52%
35,160,165,87.6,18.807002056490706,1.36,2.3611495198186483,-10.38%
35,160,180,83.68,18.448299536407873,1.33,2.349853170981364,-10.40%
35,160,195,76.61,17.473905688617265,1.23,2.2327643505734147,-10.45%
35,160,210,62.58,15.023699145656376,0.98,1.9161876085394245,-10.43%
35,160,225,54.68,13.634083961919629,0.84,1.7310956420437944,-10.38%
35,160,240,53.07,13.537366727625532,0.84,1.6981495446091168,-10.38%
35,170,150,90.57,19.434493819062794,1.43,2.4337531915228485,-10.80%
35,170,165,86.96,18.80706431881636,1.37,2.376444952963876,-10.62%
35,170,180,85.14,18.709714384351518,1.36,2.401334808744844,-10.56%
35,170,195,78.01,17.736832312155528,1.26,2.2830494662132876,-10.44%
35,170,210,63.75,15.261486664813152,1.01,1.9624550497788873,-10.42%
35,170,225,56.37,13.996488047223199,0.88,1.7957803353394364,-10.37%
35,170,240,54.19,13.784481529079251,0.86,1.7511765684379097,-10.37%
35,180,150,96.78,20.74242404569504,1.56,2.6125615316696598,-11.14%
35,180,165,93.66,20.20627521249225,1.51,2.5681862108836566,-10.95%
35,180,180,88.25,19.26164390298326,1.42,2.528833520045819,-10.89%
35,180,195,81.09,18.310095420092722,1.33,2.410570613604122,-10.75%
35,180,210,66.03,15.721413974245092,1.06,2.0676075592046725,-10.69%
35,180,225,58.83,14.519094621840868,0.94,1.9073709343874619,-10.48%
35,180,240,56.92,14.3815906845568,0.93,1.871726867876897,-10.49%
35,190,150,96.63,20.97100219583976,1.59,2.642731781613996,-10.95%
35,190,165,93.34,20.397635410356152,1.53,2.59102225586042,-10.77%
35,190,180,87.6,19.38028101068239,1.44,2.5436731438373097,-10.70%
35,190,195,80.76,18.249010265478628,1.33,2.4026675237256487,-10.67%
35,190,210,65.61,15.637029909920418,1.06,2.0556012877090963,-10.60%
35,190,225,58.62,14.474706186545427,0.94,1.8993160058958036,-10.44%
35,190,240,56.74,14.342446337789472,0.93,1.8690935619029074,-10.44%
35,200,150,89.1,19.89104356043805,1.49,2.5274052005900756,-11.23%
35,200,165,85.68,19.26959133899606,1.43,2.4684133583595838,-11.05%
35,200,180,80.2,18.256519227388935,1.33,2.4180412977020906,-10.99%
35,200,195,76.24,17.510644725747284,1.26,2.3276868684220418,-10.96%
35,200,210,64.59,15.431460927895667,1.05,2.048442444047811,-10.88%
35,200,225,57.84,14.309470193035235,0.93,1.898042829251009,-10.63%
35,200,240,55.97,14.174638491978975,0.92,1.8667520707941945,-10.62%
35,210,150,82.14,18.84932942565445,1.38,2.407366918146403,-10.92%
35,210,165,79.13,18.28031647235764,1.33,2.3531637902012075,-10.75%
35,210,180,74.04,17.302409627812978,1.24,2.3027868772577493,-10.68%
35,210,195,70.36,16.582637906717103,1.17,2.213729718803402,-10.65%
35,210,210,65.85,15.685268007411835,1.07,2.0934859093652585,-10.58%
35,210,225,59.09,14.57399428302557,0.96,1.9422459060172976,-10.50%
35,210,240,57.09,14.41853142233347,0.95,1.9090901330563592,-10.50%
35,220,150,79.22,18.527452256351197,1.35,2.3514279938542924,-11.16%
35,220,165,76.11,17.92452343805373,1.29,2.2961070810264417,-10.98%
35,220,180,70.9,16.897338695413232,1.2,2.2369181355420498,-10.99%
35,220,195,67.7,16.25539077742979,1.13,2.158042992510078,-10.96%
35,220,210,63.41,15.381014261336624,1.04,2.043166610319983,-10.89%
35,220,225,58.62,14.474706186545427,0.95,1.9253327293473228,-10.67%
35,220,240,56.29,14.244447261373217,0.93,1.8813905928691939,-10.66%
35,230,150,77.06,18.339639190250256,1.33,2.3284095213472806,-11.39%
35,230,165,74.18,17.76902344099256,1.28,2.2774274076711314,-11.22%
35,230,180,68.96,16.717588927973324,1.18,2.2125354689558328,-11.23%
35,230,195,66.27,16.1667904894939,1.12,2.1446957808958484,-11.20%
35,230,210,62.51,15.38626930731648,1.05,2.04462027461351,-11.15%
35,230,225,59.89,14.834834030945565,0.99,1.9748805112139256,-10.98%
35,230,240,57.04,14.407669412907588,0.95,1.903777021032037,-10.97%
35,240,150,77.89,18.741192059575653,1.38,2.378835409237405,-10.99%
35,240,165,75.02,18.166612918624203,1.33,2.327196437630311,-10.81%
35,240,180,69.81,17.106434884201693,1.23,2.2615109423772894,-10.82%
35,240,195,67.87,16.705834028956513,1.19,2.211818871944286,-10.78%
35,240,210,64.12,15.922171784847784,1.11,2.11051469070994,-10.73%
35,240,225,61.74,15.418267180340628,1.06,2.0454995226024626,-10.56%
35,240,240,59.14,14.8618000226314,1.0,1.970583659120077,-10.56%
40,100,150,77.4,16.70720247196136,1.14,2.003705586969849,-11.17%
40,100,165,68.01,15.271576227712757,0.99,1.8354872844023125,-11.29%
40,100,180,62.89,14.551992078691246,0.92,1.759223810632475,-11.39%
40,100,195,57.73,13.77285508442494,0.84,1.6703988392750375,-11.54%
40,100,210,46.58,11.642491146089862,0.63,1.4080044775390115,-11.58%
